17:29:00  |  Platform  |  Info  |  * Initialise: RenderManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
17:29:00  |  Platform  |  Info  |  RenderManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  71
17:29:00  |  Platform  |  Info  |  * Initialise: DataManager  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
17:29:00  |  Platform  |  Info  |  DataManager successfully initialized  |  ..\..\..\..\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
17:29:00  |  Core  |  Info  |  * Initialise: Gui  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  75
17:29:00  |  Core  |  Info  |  * MyGUI version 3.2.0.3:4  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  82
17:29:00  |  Core  |  Info  |  * Initialise: ResourceManager  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  48
17:29:00  |  Core  |  Info  |  ResourceManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  56
17:29:00  |  Core  |  Info  |  * Initialise: LayerManager  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  49
17:29:00  |  Core  |  Info  |  LayerManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  57
17:29:00  |  Core  |  Info  |  * Initialise: WidgetManager  |  ..\..\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  67
17:29:00  |  Core  |  Info  |  WidgetManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  98
17:29:00  |  Core  |  Info  |  * Initialise: InputManager  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  58
17:29:00  |  Core  |  Info  |  InputManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  78
17:29:00  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  49
17:29:00  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  69
17:29:00  |  Core  |  Info  |  * Initialise: SkinManager  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  53
17:29:00  |  Core  |  Info  |  SkinManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  61
17:29:00  |  Core  |  Info  |  * Initialise: FontManager  |  ..\..\MyGUIEngine\src\MyGUI_FontManager.cpp  |  48
17:29:00  |  Core  |  Info  |  FontManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_FontManager.cpp  |  57
17:29:00  |  Core  |  Info  |  * Initialise: ControllerManager  |  ..\..\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  46
17:29:00  |  Core  |  Info  |  ControllerManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  56
17:29:00  |  Core  |  Info  |  * Initialise: PointerManager  |  ..\..\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  60
17:29:00  |  Core  |  Info  |  PointerManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  78
17:29:00  |  Core  |  Info  |  * Initialise: ClipboardManager  |  ..\..\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  87
17:29:00  |  Core  |  Info  |  ClipboardManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  101
17:29:00  |  Core  |  Info  |  * Initialise: LayoutManager  |  ..\..\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  45
17:29:00  |  Core  |  Info  |  LayoutManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  50
17:29:00  |  Core  |  Info  |  * Initialise: DynLibManager  |  ..\..\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  41
17:29:00  |  Core  |  Info  |  DynLibManager successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  45
17:29:00  |  Core  |  Info  |  * Initialise: PluginManager  |  ..\..\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  45
